id,title,description,master_system,business_objects
AS3_Adventureworks_hr_d,d,,AS3,AS3_Adventureworks_hr_d
AS3_Adventureworks_hr_e,e,,AS3,AS3_Adventureworks_hr_e
AS3_Adventureworks_hr_edh,edh,,AS3,AS3_Adventureworks_hr_edh
AS3_Adventureworks_hr_eph,eph,,AS3,AS3_Adventureworks_hr_eph
AS3_Adventureworks_hr_jc,jc,,AS3,AS3_Adventureworks_hr_jc
AS3_Adventureworks_hr_s,s,,AS3,AS3_Adventureworks_hr_s
AS3_Adventureworks_pr_bom,bom,,AS3,AS3_Adventureworks_pr_bom
AS3_Adventureworks_pr_c,c,,AS3,AS3_Adventureworks_pr_c
AS3_Adventureworks_pr_d,d,,AS3,AS3_Adventureworks_pr_d
AS3_Adventureworks_pr_i,i,,AS3,AS3_Adventureworks_pr_i
AS3_Adventureworks_pr_l,l,,AS3,AS3_Adventureworks_pr_l
AS3_Adventureworks_pr_p,p,,AS3,AS3_Adventureworks_pr_p
AS3_Adventureworks_pr_pc,pc,,AS3,AS3_Adventureworks_pr_pc
AS3_Adventureworks_pr_pch,pch,,AS3,AS3_Adventureworks_pr_pch
AS3_Adventureworks_pr_pd,pd,,AS3,AS3_Adventureworks_pr_pd
AS3_Adventureworks_pr_pdoc,pdoc,,AS3,AS3_Adventureworks_pr_pdoc
AS3_Adventureworks_pr_pi,pi,,AS3,AS3_Adventureworks_pr_pi
AS3_Adventureworks_pr_plph,plph,,AS3,AS3_Adventureworks_pr_plph
AS3_Adventureworks_pr_pm,pm,,AS3,AS3_Adventureworks_pr_pm
AS3_Adventureworks_pr_pmi,pmi,,AS3,AS3_Adventureworks_pr_pmi
AS3_Adventureworks_pr_pmpdc,pmpdc,,AS3,AS3_Adventureworks_pr_pmpdc
AS3_Adventureworks_pr_pp,pp,,AS3,AS3_Adventureworks_pr_pp
AS3_Adventureworks_pr_ppp,ppp,,AS3,AS3_Adventureworks_pr_ppp
AS3_Adventureworks_pr_pr,pr,,AS3,AS3_Adventureworks_pr_pr
AS3_Adventureworks_pr_psc,psc,,AS3,AS3_Adventureworks_pr_psc
AS3_Adventureworks_pr_sr,sr,,AS3,AS3_Adventureworks_pr_sr
AS3_Adventureworks_pr_th,th,,AS3,AS3_Adventureworks_pr_th
AS3_Adventureworks_pr_tha,tha,,AS3,AS3_Adventureworks_pr_tha
AS3_Adventureworks_pr_um,um,,AS3,AS3_Adventureworks_pr_um
AS3_Adventureworks_pr_w,w,,AS3,AS3_Adventureworks_pr_w
AS3_Adventureworks_pr_wr,wr,,AS3,AS3_Adventureworks_pr_wr
AS3_Adventureworks_pu_pv,pv,,AS3,AS3_Adventureworks_pu_pv
AS3_Adventureworks_pu_pod,pod,,AS3,AS3_Adventureworks_pu_pod
AS3_Adventureworks_pu_poh,poh,,AS3,AS3_Adventureworks_pu_poh
AS3_Adventureworks_pu_sm,sm,,AS3,AS3_Adventureworks_pu_sm
AS3_Adventureworks_pu_v,v,,AS3,AS3_Adventureworks_pu_v
AS3_Adventureworks_sa_crc,crc,,AS3,AS3_Adventureworks_sa_crc
AS3_Adventureworks_sa_cc,cc,,AS3,AS3_Adventureworks_sa_cc
AS3_Adventureworks_sa_cu,cu,,AS3,AS3_Adventureworks_sa_cu
AS3_Adventureworks_sa_cr,cr,,AS3,AS3_Adventureworks_sa_cr
AS3_Adventureworks_sa_c,c,,AS3,AS3_Adventureworks_sa_c
AS3_Adventureworks_sa_pcc,pcc,,AS3,AS3_Adventureworks_sa_pcc
AS3_Adventureworks_sa_sod,sod,,AS3,AS3_Adventureworks_sa_sod
AS3_Adventureworks_sa_soh,soh,,AS3,AS3_Adventureworks_sa_soh
AS3_Adventureworks_sa_sohsr,sohsr,,AS3,AS3_Adventureworks_sa_sohsr
AS3_Adventureworks_sa_sp,sp,,AS3,AS3_Adventureworks_sa_sp
AS3_Adventureworks_sa_spqh,spqh,,AS3,AS3_Adventureworks_sa_spqh
AS3_Adventureworks_sa_sr,sr,,AS3,AS3_Adventureworks_sa_sr
AS3_Adventureworks_sa_tr,tr,,AS3,AS3_Adventureworks_sa_tr
AS3_Adventureworks_sa_st,st,,AS3,AS3_Adventureworks_sa_st
AS3_Adventureworks_sa_sth,sth,,AS3,AS3_Adventureworks_sa_sth
AS3_Adventureworks_sa_sci,sci,,AS3,AS3_Adventureworks_sa_sci
AS3_Adventureworks_sa_so,so,,AS3,AS3_Adventureworks_sa_so
AS3_Adventureworks_sa_sop,sop,,AS3,AS3_Adventureworks_sa_sop
AS3_Adventureworks_sa_s,s,,AS3,AS3_Adventureworks_sa_s
